File Name,Job Role,Education,Skills and Highlights
13072019.pdf,PROJECT ACCOUNTANT,"USM - GRAPHIC DESIGN, REAL ESTATE and NVCC-ARCHITECTURAL DRAFTING","000 + square feet of warehouse space for 10 and 20 year lease options that included property taxes, 24-acre business park known as Hampton Business Center, AIA, AIA pay apps and owner billings., AS400, ASSISTANT PROJECT MANAGER, ASSISTANT TO VICE PRESIDENT, Accounting, Accounting Systems, Acquired and maintained all necessary licenses, Air Cargo Facility and Sea, Also responsible for collection, April 1996 to February 1999 Company Name - City, Assisted in the development and maintenance of a database to track contracts and change orders in excess of $700 million., Assisted multiple Project Managers, Billings, Bluebeam, Bonds, Breeze Condominiums., Budgets, Business Management, Business writing, Clerical, Coding, Construction Management, Contracts, Currently responsible for all Construction Management accounting activities including preparation and submission of all trade contractors, Currently the on-site Project Accountant for the Gulfport High School renovation which is a CM project with direct owner purchase., Developed and implemented a procedure manual for subcontractors that included RFI's, February 2003 to Current Company Name - City, Filing, Forward-thinking mindset, Imaging, Insurance, Island View Casino Renovation, JD Edwards, January 1985 to September 1989 Company Name - City, MD and negotiated contracts for new construction, MDA, MSU Science & Technology Center, Maintained all property management and lease administration for a phased, Managed all insurance, May 1994 to January 1996 Company Name - City, Microsoft, Microsoft Office proficiency, Monitored and coordinated daily construction activities and immediately addressed any outstanding issues to maintain strict schedule, Negotiations, Neighborhood Home Repair Program, OWNER, Office, Ohr O'Keefe Museums of Art, Organized and detail-oriented, PROJECT ACCOUNTANT, PROJECT COORDINATOR, PROJECT MANAGER, Payroll, Prepared budgets for 300, Previously managed the preparation, Professional Experience, Proficient with AS400, Project Engineers and Superintendents with correspondence, Project Management, Project coordination, Property Management, Proposals, RFI's, Researched and prepared responses for all Tenant Requests for Proposal., Responsible for interior tenant build out for various projects to includeÂ  the design phase with the utility providers, Results-oriented, SAP, SAP and JD Edwards accounting systems and all Microsoft applications as well as Construction Imaging software, Scheduled and coordinated special events and trade shows to actively market the property., Scheduled equipment, Scheduling, Self-directed, September 1989 to July 1992 Company Name - City, September 1992 to April 1994 Company Name - City, Special Events, State, State ?, Strong interpersonal skills, Submittals, Successfully completed MS Law & Business Management Exam for MS Contractor's Certificate of Responsibility for TKG Contractors., Successfully coordinated and produced a project overview presentation for the Mirage monthly executive meeting., Taxes, Tenant build out included kitchen areas for restaurants, Trade Shows, a Xerox service center, and Change Order Proposals and also, and a detailed electrical/HVAC maintenance program for the GSA/Smithsonian., and electronic storage of all bid packages, and various GSA facilities among others., change orders, city engineers and trade, claims and annual audits., coded and paid vendor invoices and prepared AIA requisitions for owner billings., coding, construction change directives, contractors to determine correct loads depending on the tenant's needs., contracts, contracts and pay applications and the collection, cost, deadlines., developed a companion manual for Project Management., distribution and tracking of subcontracts, electronic filing and storage of close out, files and electronic filing systems, filing, for invoice coding and Bluebeam, information for specific projects including O&M's, insurance, insurance and bonds for multiple projects to include the Hard Rock New Guest Tower Addition, located in Capitol Heights, ordered materials, permits and insurances to operate and perform construction work., premiums, purchase orders, service agreements, site development and maintenance., submittal log set up, submittals, trade contractor and owner applications for payment., verified, warranty information and as-builts., Â, Â RFI"
13130984.pdf,ACCOUNTANT,"January 2014
Master's : Business Administration Troy University ï¼​ City , State Business Administration
December 2009
BBA : Accounting Management Columbus State University ï¼​ City , State Accounting Management","Access, Account reconciliation expert, Account reconciliations, Accountant, Accounting, Accounts payable, Adobe Acrobat, Advanced computer proficiency (PC and Mac), Analytical reasoning, Balance, Budget analysis, Budget forecasting expertise, Database, Excel, Expert in customer relations, FDS, Finance, Financial, Financial analysis, Flexible team player, General Ledger, General ledger accounting, Government, IBM-PC, Innovation, Macintosh, Mainframe, Microsoft Access, Microsoft Excel, Microsoft Office software, Monitors, Office, Outlook, Payroll, Policies, PowerPoint, Program Development, Publisher, QuickBooks, Strong organizational skills, Windows, Word, accounting, accounting system, accounting systems, agency, annual reports, banking, bi, budget, cash handling, clerical, contracts, copier, cost accounting, fax, financial management, financial operations, financial reports, financial statements, fiscal management, forecasting, functional, fund accounting, funds, grants, inventory, leadership skills, maintains inventory, managerial, newsletter, phone, processes, profit, proposals, reconciling, record keeping, repairs, reporting, scanner, technical support, time management, type, written, year-end"
13294301.pdf,ACCOUNTANT,"Bachelor of Science : Accounting and Finance , 03/2020 
Oakland University - City 

Dean's List January 2020

Associate : Accounting , 11/2016 
Macomb Community College - City ","Account Reconciliation Processes, Administrative support, Customer service, Data Entry, Financial statements, General ledger proficiency, Interpersonal, Microsoft Office, Proficient in Polish language, Superior analytical skills, active-listening, and critical thinking skills"
13491889.pdf,ACCOUNTANT,"Certification 2016 Accounting Training Center , City , State , United States IVU and SURI Software
MBA : Accounting and Finance 2014 University of Phoenix , City , State , United States Continuing education courses focusing on the Major
Changes in Accounting Standards 
Certification 2011 HR Block , City , State , United States Tax Course
BBA : Administration 2010 University of Phoenix , City , State , United States Minor in Management ","ADP, Account reconciliationÂ, Accounts Receivable Accounts Payable, Auditing, Benefit and compensationÂ, Budget Planning, CDI, Cash Management, Deadline-oriented, Effective time management, Employee training and development, Financial statement analysis, Fixed Assets, Full Accounting cycle, General ledger accounting, Inventory & PurchasesÂ, Microsoft Excel, Microsoft Office Suite, Microsoft Outlook, Microsoft PowerPoint and Microsoft Word., PC Law, PICO or SURI, PR Softâ€‹, Payroll, Peachtree, Quickbooks, Supervising, TaxesÂ, Team work oriented"
13701259.pdf,SENIOR ACCOUNTANT,"MERCY COLLEGE City , State Bachelor of Science : Accounting Accounting","Analytical and critical thinker, BI360 (BusinessIntelligence Tool) Â  Â  Â  Â, Budgeting and forecasting, Cost control, Financial statements reporting, Great Plains Dynamics, Internal and external auditing, Keane Care, Microsoft Word/Excel Â  Â  Â  Â, Month-end reconciliation and analysis, Self-starter, Superior research and investigation aptitude"
14055988.pdf,ACCOUNTANT III,"Prairie View A & M University 2003 BBA : Accounting Accounting Prairie View TX *Member: Phi Beta Lambda, Future Business Leaders of
America
University of North Texas 2013 BBA : Finance Finance
Dallas TX
University of North Texas 2015 MBA : Strategic Management Strategic Management
Accomplishments

Conducted a self-designed training class on Business Office Procedures; quarterly.

Trained 3 co-workers on job functions.

No Audit findings; 2012, 2013 & 2014.","AR, Account Reconciliation, Accounting, Accounts Payable, Accounts Receivable, Areas of strength include:, Billing, Budget, Cash Handling, Closing, Coaching, Communication Skills, Contracts, Credit, Customer Service, Financial, Forms, General Journal, General Ledger, General Ledger Acounts, Grant management, Grants, Groupwise, Groupwise/Outlook, Instructing, Mentoring, Merchandising, Microsoft Office, Organizational Skills, Outlook, Packaging, Policies, Pricing, Public Speaking, Purchasing, Receiving, Reconciling, Research, Research Abilities, Spreadsheets, Team Player, Time Management, Time Management Skills, UTShare, Work as Team Player *Communication Skills, Year-End"
14126433.pdf,SUPERVISOR ACCOUNTANT,"Master of Business Administration : Business Development Strategy, Management , May 2008 Pepperdine University, Graziadio School of
Business and Management ï¼​ City , State Business Development Strategy, Management
Bachelor of Science : Finance Spanish , May 2004 University of New Orleans ï¼​ City , State Finance Spanish","AP, Access, Account reconciliations, Business Objects, CPA, Excel, Excellent written, Financial Reporting, Fluent in English, Government, Harvard Graphics, JDE, Lotus Notes, MS Access, Microsoft Office, People Soft, PeopleSoft, PowerPoint, PowerPoint presentations, QuickBooks, Quicken, SAP, SOX compliance, Sarbanes Oxley, Spanish, Windows 95, accounting, accounts payable, accounts receivables, accruals, ad, balance, balance sheet, bank reconciliations, billing, book, bookkeeping, budget, budgeting, charts, databases, finance, financial, financial analysis, financial reports, financial statements, fixed assets, forecasting, general, general ledger, graphs, ledger accounts, month-end closing, office, oral communication, payroll, presentations, reporting, senior management, tax, television, variance analysis"
14224370.pdf,ACCOUNTANT,"2005
Bachelor's degree : accounting University of Houston ï¼​ City , State accounting Cum Laude - Graduating With Honors","Ability of managing multi tasks, Accounting Software, Accounting Software: PeopleSoft / QuickBooks, Adobe, Adobe Acrobat, Deadlines focused, Detail-oriented, Excellent communication, Excellent communication and presentation skills, Good analytical skills, MCT, MS Access, MS Excel, Microsoft Office, Microsoft Office: Word / Advanced MS Excel skills /MS Access / PowerPoint / Outlook, Operating, Operating Systems: XP Windows Professional / Windows 7/ Windows 8, Outlook, PDF, PDF: Adobe Reader / Adobe Acrobat X, PeopleSoft, PowerPoint, Quick learner, QuickBooks, Strong management skills, Systems, Tax, Tax Software: Drake / Ultra Tax / TurboTax, Team-oriented, Windows, Windows 7, Windows 8, Word, accountant, accounting, accounts receivable, analytical skills, bank reconciliations, bookkeeping, clients, filing, financial statements, general ledger, management skills, managing, payroll, phone, prepare financial statements, prepare tax, presentation skills, sales, tax returns, taxes"
14449423.pdf,STAFF ACCOUNTANT,"Diploma : Accounting April 2004 Kings College City , State Accounting
Bachelor of Science : Computer Science May 1995 South Carolina State University Computer Science","Accounting, Accounting Skills, Analytical skills, Attention to detail, C programming, Client, Consulting, Designer 2000, Developer, Excel, Financial, Forms, Full Life Cycle, General Ledger accounts, Independent worker, Integration, Investigated and analyzed client complaints to identify and resolve issues., Maintained status reports to provide management with updated information for client projects., Microsoft Word, OS/2, Operated computers programmed with accounting software to record, Oracle, Oracle database, Quality assurance, Relevant Experience, Reporting, Research, Research support, SQL, Sales, Senior Management, Solomon, Successfully trained staff in all office systems and databases, System, Tax, Tax accounting, Technical documentation, Time management, Training, Windows, and analyze information., billing, clients, closing, consultant, credit, customer care, data entry, database, debit, delivery, documentation, editing, fetch, filing, funds, legal, managing, month-end closing, office, policies, policies and procedures while focusing on minimizing errors and generating, processes, processing payments, proposals, read, real estate, reporting, requirement, scheduling, scripts, store, superior results., tables, tax returns, telephone, upgrades, utilities"
14470533.pdf,ACCOUNTANT,"A.A. : Business Management-Accounting , 2016 Treasure Valley Community College ï¼​ City , State , US Treasure Valley Community College,
Caldwell, ID Current GPA 3.85 Currently Attending--Graduation expected in 2016 - A.A. in Business Management-Accounting Clerical Skills
Training, Fairbanks, AK
Diploma : Bookkeeping and Office Administration Worland High School ï¼​ City , State , US Office Specialist Diploma--Emphasis in
Bookkeeping and Office Administration Worland High School, Worland, WY High School Diploma","(Word, A/P and A/R processing for clients, A/p, A/r, AK, AS400), Account, Accountant, Accounting, Accounts And, Accounts For, And Account, As400, Audit, Automated Payroll, Balance, Balance Sheets, Bank Reconciliations, Bookkeeper, Bookkeeping, Bookkeeping and Office Administration Worland High School, Business Management, Cash, Clerical, Clients, Contracts, Cpa, Diploma : Bookkeeping and Office Administration Worland High School ï¼​ City, Excel, Fairbanks, Financial Statements, G/l, General Ledger, Google Drive) â—​ Experience with many computer accounting programs (QuickBooks, Inventory, Invoice, Its, Job Costing, Journal, Office Administration, Office Management, Office Manager, Operations, Outlook, Payroll, Payroll Processing, Peachtree, Peachtree Accounting, PowerPoint, Powerpoint, Process Payroll, Progress, Quickbooks, RELATED SKILLS â—​ Over 20 years experience in payroll processing and preparing quarterly federal and state employer tax returns for, Reconciliations, Reconciling, Restaurant Manager, Scheduling, Secretary, Sheet, State, State Tax, Tax Returns, Timberline, Timberline Software, Training, Typing, US Office Specialist Diploma--Emphasis in, WY High School Diploma, Word, Worland, account reconciliations, and providing year-end, bank and, bank reconciliations, completing construction draws for lenders, entries, income statement), information for income tax returns â—​ Over 20 years experience in office management including, journal entries, maintaining general ledger, maintaining general ledger and preparing monthly financial statements â—​ Knowledge of most computer programs, maintaining subcontractor files and 1099 processing, making adjusting, numerous CPA firm clients, preparation of monthly financial statements (balance sheet, processing A/R and A/P, processing payroll and associated employment, statement of cash flows, tax deposits"
14491649.pdf,ACCOUNTANT,"2008 Keller Graduate School of Management ï¼​ City , State Master of Business Administration Accounting GPA: GPA: 3.67 Accounting GPA:
3.67
2006 DeVry University ï¼​ City , State Bachelor of Science Technical Management Accounting GPA: GPA: 3.66 Cum Laude, and Dean's List
Technical Management Accounting GPA: 3.66 Cum Laude, and Dean's List","AS 400, Accounting, Corporate Finance, Director, ERP, Edwards/AS 400, Finance, Financial Statements, Image, Image Freeway, JD, JD Edwards, LX, Microsoft Access, Microsoft Accounting Office, Microsoft Excel, Microsoft Excel (v-lookups, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Office, Operations Management, Progress, QuickBooks, Requirement, SAGE, SAGE FAS, SAP, account reconciliations, accruals, ad, balance sheet, balance sheets, budget, budgets, controller, financial, financial reporting, financial reports, fixed assets, forms, general ledger, inventory, ledger, macros, materials, month end close, pivot tables, pivot tables), reporting, research, sales, tax, year-end"
14496667.pdf,ACCOUNTANT I,"Bachelor of Science : Business Management Accounting, Psychology May 16, 2015 Bridgewater State University City , State

Business Management

Minor in Psychology, Accounting & Finance","Able to meet deadlines and handle stressful situations in a professional manner, Able to retain the confidentiality of paperwork and information, Access, Access and Outlook, Accomplishments, Accounts Payable, Administrative support, Closing, Communicator, Contracts, Created a Pivot table for contracts department to utilize for renewal of contracts. Received an opportunity to grow as an employee after my, Customer service, English, Excel, Excellent Communicator: Written and Verbal, Extensive customer service skills, Finance, Financial, Financial Analyst, Flexible team player and quick learner, Human Resources, Knowledge of State accounting system[MMARS system], Microsoft Office, Microsoft Office: Word, Office Experience- Ability to create reports, Outlook, People Soft, PowerPoint presentations, Spanish, System 7 and client tracking system, Word, Written, accounting system, agency, analyze data and manipulate data, auditing, budget, clerical, client, clients, conferences, copying, customer service skills, database, e-mail, editing, faxing, filing, financial, forms, interested in new technologies, internship., mail, marketing materials, meetings, organizing, payroll, personnel, quick learner, reports, safety, scanning, spreadsheet, spreadsheets, tables, team player, telephone, transportation"
15289348.pdf,SENIOR ACCOUNTANT,"MBA : Business Administration, Accounting & Finance , 2001 University of North Florida ï¼​ City , State , USA

BBA - Accounting, CPA qualified candidate

BBA - Finance, CFP qualified candidate","Access Database Queries & data mining, Account reconciliation expert, Analytical reasoning, Asset Manager -10-key, CCH & RIA, CCH & RIA Tax Research - STAT- FSI Track - Ultra Tax - IMAGE Scanner -, CITConnect Research, Complex problem solving, Effective time management, Finance and Tax Research - Lexis-Nexis, Financial statement analysis, Flexible and Valued team player, Formulas, General and tax accounting, General ledger accounting, Highly analytical & Detail Oriented, IMAGE Scanner - Asset Manager -10-key, Independent worker, InfoLease for Lease and Financial Accounting, InfoLease for Lease and Financial Accounting & CITConnect Research, Internet Accounting, MS Word, Microsoft Excel expert - Pivot Tables, Oracle, Oracle experience, Outlook, PeopleSoft knowledge - Queries & data mining, PeopleSoft use & knowledge - Queries & data mining, PowerPoint, Printers & Scanners, Proficient in Microsoft Office, Public and private accounting, QuickBooks, Recordkeeping expert, STAT- FSI Track, Sarbanes-Oxley, SharePoint, SharePoint use experience, Solution-oriented, Strong organizational skills, Superior research skills, Tax Research, Thrives under pressure, Ultra Tax, V-Lookups, Working Knowledge of GAAP guidelines and, general, general office tools - QuickBooks, office tools"
15363277.pdf,ACCOUNTANT,"University of Phoenix Masters of Business Administration City , State
Hampton University Bachelor of Science Degree : Finance City , State Finance","Advanced Excel, Budgeting, Cognos, Cognos Budgeting System, Excel, Financial, Financials, Leadership skills, Microsoft Office, Oracle Financials, PeopleSoft, Real Estate, SAP, SAP Financials, advertising, architect, asset management, auditing, budget, budgets, business case, client, closing, coding, customer service, executive presentations, financial analysis, financial modeling, leadership, marketing, negotiations, office management, processes, progress, reporting, strategic, strategic marketing, telecom"
15592167.pdf,FINANCIAL ACCOUNTANT,"2010
Master of Business : Accounting Monash University ï¼​ City , State , Australia Continuing education courses focusing on the Major Changes in
Accounting Standards,Â  Legal Concepts with Tax Analysis seminar
2009
Bachelor of Commerce : Accounting & Finance Victoria University ï¼​ City , State , Australia Coursework mainly covered Management
Accounting, Financial Accounting, Auditing,Â Governance & Ethics.Â 
Professional Affiliations
CPA AUSTRALIAÂ ","Communication Skills: Â Taking initiative in communication among team members by interacting with people from diverse cultural, High attention to Details: while ensuring accuracy and completeness of particulars, High efficiency: to pressuring the best way to solve the problem and making contribution to business organization. Â  Â, International, Tertiary qualified:, and building up excellent client and peer relationships., backgrounds, executing corrections on errors that occur and performing, thorough reviews on necessary documents. Â Â, Â Â Â â€‹"
